created_at,text
2018-12-19 23:54:55,b'UWA SHOWDOWN tonight at 9pm est!! https://t.co/LwHbTGZCTS \n#UWA #UltimateWrestlingAlliance #UWAshowdown #WWE2K19\xe2\x80\xa6 https://t.co/fcMHwCQs6h'
2018-12-19 23:54:55,"b""I'm in the running to win an #XboxOne code for #Subnautica in this week's @TrueAchievement site contest. Enter here: https://t.co/FWzJO6WaWZ"""
2018-12-19 23:54:53,b'RT @uctodaynews: JUST POSTED: @calltower Provides @MicrosoftTeams Calling Plans\n\nNew voice enablement for @Microsoft @Office365 \n\n#TeamColl\xe2\x80\xa6'
2018-12-19 23:54:52,"b'RT @IuicAlabama: Often #Replicated but never #Duplicated, #IUIC will continue to raise the bar for #Israel! 365 days #straight will the #Me\xe2\x80\xa6'"
2018-12-19 23:54:50,b'RT @SwiftOnSecurity: Microsoft Office 365 Groups took 25 years but they\xe2\x80\x99re here now. https://t.co/ax4vk0Cywr'
2018-12-19 23:54:44,"b'RT @Gartner_inc: #IT is tasked with deploying Microsoft Teams, a new innovative collaboration product, across the enterprise. Watch our fre\xe2\x80\xa6'"
2018-12-19 23:54:40,b'RT @JasonLeopold: Facebook allowed Microsoft\xe2\x80\x99s Bing search engine to see the names of virtually all Facebook users\xe2\x80\x99 friends without consent\xe2\x80\xa6'
2018-12-19 23:54:39,b'RT @zacbowden: Microsoft now pins the Office Web apps to the Start menu by default on a clean Windows 10 19H1 install. Verrrrry interesting\xe2\x80\xa6'
2018-12-19 23:54:37,"b'RT @VMwareFusion: Did you know you can get pre-built development VMs for Windows 10 and more?\n\nOf course you did, let\xe2\x80\x99s consider this a fri\xe2\x80\xa6'"
2018-12-19 23:54:36,b'PowerApps Canvas App Coding Standards and Guidelines Check out \xe2\x8f\xb3https://t.co/b3XHp62cFh\xf0\x9f\x94\x97 #Office365 #PowerApps #MVPBuzz #MSEnvision'
2018-12-19 23:54:36,"b'RT @SwiftOnSecurity: An unscheduled patch, from Microsoft, days before Christmas?\nSomeone got some scorpions dumped in their Cheerios holy\xe2\x80\xa6'"
